Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_XY_5,neg_XY_4,neg_XY_6,neg_XY_3,neg_XY_1,neg_XY_7,neg_XY_2
Com_39_neg,Prostaglandin H2,C20 H32 O5,334.21468,7.381,333.20737,Invalid mass,No results,No match,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,79226524.45,47591862.87,360302621.5,85631298.68,812172855.1,609380074.6,51737202.73
Com_40_neg,O-Desmethylnaproxen,C13 H12 O3,216.07874,5.271,215.07141,Full match,No results,Full match,Benzenoids,Naphthalenes,Naphthols and derivatives,Naphthols and derivatives,256780229.4,290881007.6,549714801.5,288342070.8,477278616.7,316879623.5,331454276.6
Com_41_neg,(¡À)8(9)-DiHET,C20 H34 O4,338.24336,10.834,337.23602,Invalid mass,No results,No results,,,,,20683888.4,2503499.876,21337897.21,19580199.6,14926443.23,17677033.47,16210289.74
Com_42_neg,Genipin,C11 H14 O5,208.07365,5.36,207.06651,Invalid mass,No match,No match,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Iridoids and derivatives,21096556.94,17796842.13,22973476.92,17877644.23,24204362.72,22745727.56,18351534.32
Com_43_neg,Benzyl 6-O-beta-D-glucopyranosyl-beta-D-glucopyranoside,C19 H28 O11,478.1631,5.648,477.15616,Invalid mass,No results,No results,,,,,94154835.57,94541430.11,38290933.63,112236818.4,104396079.5,100721316.8,133908055.1
Com_44_neg,Corchorifatty acid F,C18 H32 O5,328.22525,6.696,327.21796,Full match,No results,No results,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Lineolic acids and derivatives,264461130.9,272004453.9,429893488,313304791.4,243899709.5,259512186,227797641.7
Com_45_neg,FAHFA (16:0/18:2),C34 H62 O4,534.46274,10.403,533.45544,No results,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids,24962978.27,22697675.37,20461647.66,40768629.9,27148410.96,31843046.1,46929401.72
Com_46_neg,Pentadecanoic acid,C15 H30 O2,242.22457,9.967,241.21732,Full match,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,86316454.09,61564500.03,349208198.7,170867933.6,34484490.61,84292404.88,100999918.3
Com_47_neg,"3-Oxo-7alpha,12alpha-hydroxy-5beta-cholanoic acid",C24 H38 O5,406.27238,6.564,405.26517,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",12159839.76,5055688.844,14687109.33,11359726.59,64645803.74,45236744.22,5182123.04
Com_48_neg,Monobutyl phthalate,C12 H14 O4,222.08929,5.364,221.08203,Full match,No results,Full match,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters,7996696.397,9187775.828,3935713.191,6441528.642,4090997.743,4266088.66,10127873.19
Com_49_neg,(¡À)9-HpODE,C18 H32 O4,312.23027,7.013,311.22296,Full match,Partial match,Full match,,,,,253606326.8,175969522.9,97918811.97,245045734.4,180212732.7,220603747.8,157594841.2
Com_50_neg,Tyrosol,C8 H10 O2,138.06838,5.476,137.06108,Full match,No results,No results,Benzenoids,Phenols,Tyrosols and derivatives,Tyrosols,7165059.061,9377009.723,274694629.1,6364621.438,6537641.671,6640809.463,10265384.25
Com_51_neg,N-(2-hydroxyethyl)-N'-propylthiourea,C6 H14 N2 O S,212.08378,5.237,211.07657,Invalid mass,No results,No results,,,,,93910513.94,97917110.83,48555366.26,103496286.9,72665129.64,62888358.61,115779824.4
Com_52_neg,FAHFA (18:1/20:3),C38 H66 O4,586.49433,10.651,585.48706,No results,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids,284073.5983,1571337.443,21512926.19,606297.4375,2707146.79,950092.6185,983966.9519
Com_53_neg,Aflatoxin G2,C17 H14 O7,330.07452,5.419,329.06705,No results,Full match,No results,Phenylpropanoids and polyketides,Coumarins and derivatives,Furanocoumarins,Difurocoumarolactones,3380705.739,3280926.785,3887320.837,3736171.387,5876940.864,4326211.675,4861407.534
Com_54_neg,Dimetghyl 4-Hydroxyisophthalate,C10 H10 O5,210.0529,5.35,209.04561,No results,No results,Full match,,,,,60039558.89,87646805.3,20603928.33,71448173.2,61989330.67,38465029.91,116784078.8
Com_55_neg,Orotidine,C10 H12 N2 O8,306.07397,5.549,305.06705,Invalid mass,No results,No results,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Not available,Pyrimidine nucleosides,4559928.826,11675104.17,130485810.1,11931103.5,2338546.712,8323743.051,2829785.24
Com_56_neg,Tauroursodeoxycholic acid,C26 H45 N O6 S,499.29765,7.989,498.29037,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Taurinated bile acids and derivatives,5003920.101,1640628.689,1328629.677,2007299.501,3026690.601,2748704.327,5049479.171
