Compound_ID,Name,Formula,Molecular Weight,RT [min],m/z,mzCloud_Results,mzVault_Results,MassList_Results,Class_I,Class_II,Class_III,Class_IV,neg_HZ_1,neg_HZ_2,neg_HZ_3,neg_HZ_4,neg_HZ_5,neg_HZ_6,neg_HZ_7,neg_HZ_8,neg_HZ_9,neg_HZ_10,,,,,,,
Com_50_neg,Tyrosol,C8 H10 O2,138.06838,5.476,137.06108,Full match,No results,No results,Benzenoids,Phenols,Tyrosols and derivatives,Tyrosols,22162575.15,1070988.776,7523206.136,465646.1364,3613677.19,3712093.467,18745287.69,17004314.52,467861.9778,7330582.763,,,,,,,
Com_51_neg,N-(2-hydroxyethyl)-N'-propylthiourea,C6 H14 N2 O S,212.08378,5.237,211.07657,Invalid mass,No results,No results,,,,,10726949.96,175017.9952,926828.5708,183083.7442,305527.1376,420335.4921,4746257.791,13395174.64,215223.7684,4487182.148,,,,,,,
Com_52_neg,FAHFA (18:1/20:3),C38 H66 O4,586.49433,10.651,585.48706,No results,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids,1022217.639,3746311.169,12026009.66,974166.5677,589050.4222,785601.6741,2257866.37,4357350.127,7390179.635,344658.4034,,,,,,,
Com_53_neg,Aflatoxin G2,C17 H14 O7,330.07452,5.419,329.06705,No results,Full match,No results,Phenylpropanoids and polyketides,Coumarins and derivatives,Furanocoumarins,Difurocoumarolactones,9765928.248,6028394.967,7829993.484,9705917.855,6900903.103,6086125.555,7671519.806,11682130.99,7555855.869,7109832.928,,,,,,,
Com_54_neg,Dimetghyl 4-Hydroxyisophthalate,C10 H10 O5,210.0529,5.35,209.04561,No results,No results,Full match,,,,,7864100.162,9294415.334,11692577.41,9070811.647,10373897.26,5304012.685,11988488.77,9754230.891,6145451.546,8583824.782,,,,,,,
Com_55_neg,Orotidine,C10 H12 N2 O8,306.07397,5.549,305.06705,Invalid mass,No results,No results,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Not available,Pyrimidine nucleosides,11207301.82,8311452.878,6260167.19,10162660.62,8331470.375,5229227.761,7900288.596,7831332.793,7231868.683,9917096.75,,,,,,,
Com_56_neg,Tauroursodeoxycholic acid,C26 H45 N O6 S,499.29765,7.989,498.29037,No results,No results,Full match,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Taurinated bile acids and derivatives,318489.0796,4933217.321,285439.1784,374371.056,14610387.89,275195.9454,130902.2452,406482.1915,802796.9214,289314.5526,,,,,,,
Com_57_neg,cis-gondoic acid,C20 H38 O2,310.28722,11.492,309.28,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,2584283.42,5155830.87,9035129.962,2666911.157,2235148.644,3182551.303,3987623.551,4436479.551,2190826.117,495281.2112,,,,,,,
Com_58_neg,3-Hydroxydecanoic acid,C10 H20 O3,188.14137,6.067,187.13409,Full match,Partial match,Full match,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,8968202.49,1009360.645,4412865.163,1198272.735,2950387.285,1579019.994,2632369.731,8210452.179,1138268.094,7478779.314,,,,,,,
Com_59_neg,Salvinorin A,C23 H28 O8,432.17162,9.524,431.16422,No results,Invalid mass,No results,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,Diterpene lactones,2007350.523,5006172.229,7349537.243,3223310.829,2783557.337,3962011.975,2232461.908,2592115.292,5568160.272,1884979.84,,,,,,,
Com_60_neg,3-(3-Methoxyphenyl)propionic acid,C10 H12 O3,180.07892,5.409,179.07164,No results,No results,Full match,,,,,4310568.808,6632847.75,7285210.265,7805768.138,5925789.539,5571441.16,3083226.774,3439437.816,7483393.811,5724775.159,,,,,,,
Com_61_neg,Hydroquinone,C6 H6 O2,110.03691,5.516,109.02963,No results,No results,Full match,Benzenoids,Phenols,Benzenediols,Hydroquinones,7292608.735,3663031.324,4262372.436,2760418.648,3225131.014,3731949.142,6005680.65,7009401.721,2810795.311,7684224.536,,,,,,,
Com_62_neg,Deoxycholic acid,C24 H40 O4,392.29046,10.25,391.28314,Invalid mass,No results,No results,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives","Dihydroxy bile acids, alcohols and derivatives",787155.3784,5006824.557,6857207.81,3766095.231,1711460.611,1765920.877,1437518.018,2049469.449,5701580.701,882601.4775,,,,,,,
Com_63_neg,FAHFA (18:1/19:2),C37 H66 O4,574.49416,10.702,573.48694,No results,Full match,No results,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids,269148.7625,1292951.532,6762113.097,177138.4186,310696.5135,661180.3874,682625.6996,1655382.689,2446386.968,157410.0691,,,,,,,
Com_64_neg,N-acetyl-D-glucosamine,C8 H15 N O6,221.08995,1.393,220.08298,No results,No results,Full match,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Acylaminosugars,2076073.506,3142319.118,6241937.475,2346901.773,2205654.415,3752787.002,1518728.379,705808.0071,6232580.442,2290807.875,,,,,,,
Com_65_neg,Undecanedioic acid,C11 H20 O4,216.13622,6.026,215.12892,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,3877294.177,4245011.513,5404764.053,4075191.65,3453582.784,3703193.509,1949950.823,2850468.888,4696024.71,4217126.951,,,,,,,
Com_66_neg,Traumatic acid,C12 H20 O4,228.13635,5.955,227.12906,No results,No results,Full match,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,5045104.794,5742281.728,5076800.477,5105303.424,4273766.673,4779515.128,3117173.476,3707124.48,6011539.747,5504158.675,,,,,,,
Com_67_neg,Oxazepam,C15 H11 Cl N2 O2,286.04833,5.482,285.04166,No results,Invalid mass,No results,Organoheterocyclic compounds,Benzodiazepines,"1,4-benzodiazepines","1,4-benzodiazepines",3082054.828,1907480.138,4853705.643,2677955.036,2505170.281,2657346.303,3422302.289,3198040.914,1948942.259,3673318.053,,,,,,,
