Gene,XY_Blood_007.886,XY_Blood_1.888,XY_Blood_3.885,XY_Blood_5.609,XY_Blood_7.604,XY_Blood_881,XY_Blood_999
CD80,35.51105927,39.49370135,20.93330574,37.80393113,19.30193935,21.69618935,45.03404327
LOC112447304,6.842093535,5.647044916,1.079213199,4.452586937,0.778683798,0.328322322,6.651021704
ADPRH,28.91665521,19.59659282,13.23895856,23.64840013,16.4284928,13.94806194,18.9743315
PLA1A,0.021769296,0.192817056,0.116745877,0.1961539,0.226515778,0.153210037,0.127952461
LOC104970868,0,0.183403186,0.143706608,0.456077393,0.296252882,0.048576631,0
POPDC2,0,0,0.025476649,0.296466444,0.131301038,0,0
COX17,64.14892272,116.9191122,214.4933769,138.9594465,217.3251621,141.9466827,161.0374304
MAATS1,0.186361747,0.664551736,0.95744056,0.870710133,0.328962518,0.221438038,0.890740812
NR1I2,0.048050231,0,0,0.016035565,0,0.030742955,0.043449659
GSK3B,74.53874417,41.7205619,22.89446359,34.87045906,25.79938256,20.75969637,37.43156338
MIR6529B,0,0,0,0,0,0,0
MIR6529A,0,0,0,0,0,0,0
LOC112447305,0.648658907,0.391729267,0.255784743,0.270592147,0.184556152,0.337201809,0.109978692
GPR156,0,0,0,0,0,0.054160967,0.038273411
LOC101906506,0,0,0,0,0,0,0
LRRC58,72.55532313,28.03004165,12.1331723,18.01329837,10.72577594,7.549233026,35.25057408
FSTL1,19.6592658,38.97084239,12.07067318,22.55502954,28.76629271,3.251136969,18.30427192
LOC112447306,0,0,0,0,0,0,0
NDUFB4,45.79511359,68.06296006,87.49003811,51.56218995,74.03738692,80.64376624,70.04946645
HGD,0.125848681,1.064011534,0.317604678,1.511958802,0.163686456,0.080519081,0.455197169
RABL3,26.76731523,21.38521399,16.85526721,19.71163573,17.47546579,20.19728357,27.7431435
GTF2E1,18.11700467,11.92630267,8.516044975,10.59304664,9.067347453,8.608830296,15.59680277
LOC112448312,0,0,0,0,0,0,0
STXBP5L,0.011440789,0.018424442,0,0.007636156,0,0,0
POLQ,4.37659549,1.563375098,0.900131829,1.245788389,0.697606194,0.576508442,1.668382348
ARGFX,1.066924503,0,0,0,0,0.097518225,0
FBXO40,101.9718808,79.26656313,64.68662642,84.6304986,73.64979188,69.14607731,66.44732188
HCLS1,463.3121,344.8056875,240.5502431,411.6934785,315.7366083,252.5887437,310.8184386
GOLGB1,111.6785779,36.17621797,23.42278539,38.38434037,30.75448176,20.15453353,41.17014635
IQCB1,8.687354164,6.174106872,4.014308589,5.172259547,3.36857117,3.392355956,8.998883799
EAF2,24.21059311,23.66238216,29.23335407,19.94845397,23.12869414,17.35964869,25.44065132
SLC15A2,0,0,0,0,0,0,0
LOC516421,0,0.072968033,0,0,0,0,0.027314541
ILDR1,0,0.042231413,0.057908661,0.008751571,0.025581298,0,0.011856545
CD86,20.46673467,32.70126633,18.91337369,31.05249312,32.09478166,15.746645,33.2663772
CASR,0,0.027942372,0.010947202,0,0.045135574,0.022202661,0.172587158
CSTA,0,0,0,0,0,0,0
CCDC58,11.13300402,7.243951403,13.33869227,9.081996433,8.337121017,6.619346854,14.94807954
